sample,scan speed,laser power,linear energy density,mean surface,lb,rb,tb,bb
E1A_0,500,80,0.16,74.5,267,397,312,482
E1A_1,500,120,0.24,75,272,413,343,519
E1A_2,700,56,0.08,6,152,292,323,476
E1A_3,1000,240,0.24,89.5,267,424,324,527
E1A_4,1250,300,0.24,321.5,271,413,284,509
E1A_5,1375,330,0.24,298,260,423,262,490
E1A_6,1500,240,0.16,290,281,393,255,345
E1A_7,1500,360,0.24,288,253,410,236,454
E1A_8,1600,128,0.08,283.5,285,427,201,408
E1A_9,1875,300,0.16,275,247,391,214,360
E1A_10,2187.5,350,0.16,281,221,380,201,353
E1A_11,2500,200,0.08,280.5,293,349,205,271
E1A_12,2500,400,0.16,275,204,388,203,364
E1A_13,2057,140,0.068,267,199,361,191,363
E1A_14,2138,385,0.18,268.5,205,392,172,367
E1A_15,2225,312,0.1402,246,210,418,136,403
E1A_16,1550,360,0.2,423,0,0,0,0
E1A_17,1800,360,0.2,382.5,362,669,305,491
E1A_18,1350,360,0.3,389,0,0,0,0
E1A_19,1200,360,0.3,364.5,359,695,239,583
E1B_0,500,80,0.16,343.5,409,689,279,653
E1B_1,500,120,0.24,361.5,421,701,275,593
E1B_2,700,56,0.08,360,419,669,269,503
E1B_3,1000,240,0.24,425.5,453,713,281,651
E1B_4,1250,300,0.24,401,0,0,0,0
E1B_5,1375,330,0.24,371.5,459,713,245,449
E1B_6,1500,240,0.16,358,461,757,231,531
E1B_7,1500,360,0.24,350,0,0,0,0
E1B_8,1600,128,0.08,383.5,503,749,235,573
E1B_9,1875,300,0.16,354,0,0,0,0
E1B_10,2187.5,350,0.16,330,517,793,191,531
E1B_11,2500,200,0.08,396,537,743,331,501
E1B_12,2500,400,0.16,629.5,793,959,539,647
E1B_13,2057,140,0.068,656.5,661,953,577,763
E1B_14,2138,385,0.18,707,0,0,0,0
E1B_15,2225,312,0.1402,671,647,1011,577,795
E1B_16,1550,360,0.2,591,669,955,533,863
E1B_17,1800,360,0.2,598,649,949,507,921
E1B_18,1350,360,0.3,592.5,671,937,463,741
E1B_19,1200,360,0.3,590.5,627,907,501,765
E1C_0,500,80,0.16,649.5,555,845,505,847
E1C_1,500,120,0.24,524.5,655,877,489,735
E1C_2,700,56,0.08,514.5,625,861,437,757
E1C_3,1000,240,0.24,480,681,843,439,569
E1C_4,1250,300,0.24,468.5,605,867,429,713
E1C_5,1375,330,0.24,560,0,0,0,0
E1C_6,1500,240,0.16,489,589,841,407,727
E1C_7,1500,360,0.24,517,573,869,275,605
E1C_8,1600,128,0.08,486,0,0,0,0
E1C_9,1875,300,0.16,446,0,0,0,0
E1C_10,2187.5,350,0.16,394,0,0,0,0
E1C_11,2500,200,0.08,475,0,0,0,0
E1C_12,2500,400,0.16,486,0,0,0,0
E1C_13,2057,140,0.068,373,0,0,0,0
E1C_14,2138,385,0.18,352,0,0,0,0
E1C_15,2225,312,0.1402,452,0,0,0,0
E1C_16,1550,360,0.2,514,0,0,0,0
E1C_17,1800,360,0.2,541,0,0,0,0
E1C_18,1350,360,0.3,546,0,0,0,0
E1C_19,1200,360,0.3,577,0,0,0,0
E1D_0,500,80,0.16,569,0,0,0,0
E1D_1,500,120,0.24,606,0,0,0,0
E1D_2,700,56,0.08,620,0,0,0,0
E1D_3,1000,240,0.24,581,0,0,0,0
E1D_4,1250,300,0.24,388,731,1045,187,469
E1D_5,1375,330,0.24,399,0,0,0,0
E1D_6,1500,240,0.16,393,0,0,0,0
E1D_7,1500,360,0.24,386,411,761,311,637
E1D_8,1600,128,0.08,412.5,495,761,299,695
E1D_9,1875,300,0.16,405,477,783,315,671
E1D_10,2187.5,350,0.16,399,483,741,247,587
E1D_11,2500,200,0.08,404.5,501,793,335,645
E1D_12,2500,400,0.16,409,551,735,307,533
E1D_13,2057,140,0.068,410,527,811,333,601
E1D_14,2138,385,0.18,430,483,898,311,642
E1D_15,2225,312,0.1402,452.5,589,763,259,453
E1D_16,1550,360,0.2,410.5,579,823,295,565
E1D_17,1800,360,0.2,379,567,829,217,391
E1D_18,1350,360,0.3,357.5,597,853,249,641
E1D_19,1200,360,0.3,432.5,613,871,323,647
C1A_0,500,80,0.16,576,0,0,0,0
C1A_1,500,120,0.24,498,691,949,403,897
C1A_2,700,56,0.08,536,0,0,0,0
C1A_3,1000,240,0.24,540,0,0,0,0
C1A_4,1250,300,0.24,458,671,991,321,701
C1A_5,1375,330,0.24,425,652,655,317,639
C1A_6,1500,240,0.16,374.5,691,945,307,643
C1A_7,1500,360,0.24,395,0,0,0,0
C1A_8,1600,128,0.08,354,663,893,177,387
C1A_9,1875,300,0.16,408,0,0,0,0
C1A_10,2187.5,350,0.16,409,449,885,345,1101
C1A_11,2500,200,0.08,358,490,889,253,711
C1A_12,2500,400,0.16,326.5,599,843,243,591
C1A_13,2057,140,0.068,363,611,817,229,375
C1A_14,2138,385,0.18,317,0,0,0,0
C1A_15,2225,312,0.1402,298.5,592,815,229,645
C1A_16,1550,360,0.2,418,0,0,0,0
C1A_17,1800,360,0.2,434,0,0,0,0
C1A_18,1350,360,0.3,391,393,865,311,877
C1A_19,1200,360,0.3,388.5,391,895,315,979
C1B_0,500,80,0.16,394.5,417,897,305,785
C1B_1,500,120,0.24,427,0,0,0,0
C1B_2,700,56,0.08,413,509,781,215,403
C1B_3,1000,240,0.24,378.5,499,786,215,421
C1B_4,1250,300,0.24,401,0,0,0,0
C1B_5,1375,330,0.24,372.5,501,877,301,873
C1B_6,1500,240,0.16,313,0,0,0,0
C1B_7,1500,360,0.24,353.5,612,837,161,387
C1B_8,1600,128,0.08,340.5,669,891,207,453
C1B_9,1875,300,0.16,404,0,0,0,0
C1B_10,2187.5,350,0.16,360,0,0,0,0
C1B_11,2500,200,0.08,310.5,651,823,231,439
C1B_12,2500,400,0.16,521,0,0,0,0
C1B_13,2057,140,0.068,544,0,0,0,0
C1B_14,2138,385,0.18,543,0,0,0,0
C1B_15,2225,312,0.1402,569,0,0,0,0
C1B_16,1550,360,0.2,536,0,0,0,0
C1B_17,1800,360,0.2,558,0,0,0,0
C1B_18,1350,360,0.3,545,0,0,0,0
C1B_19,1200,360,0.3,637,0,0,0,0
C2A_0,512,212,0.414,568,0,0,0,0
C2A_1,579,193,0.3333,612,0,0,0,0
C2A_2,600,370,0.6166,589,0,0,0,0
C2A_3,657,291,0.4429,609,0,0,0,0
C2A_4,765,305,0.3986,637,0,0,0,0
C2A_5,829,158,0.1905,646,0,0,0,0
C2A_6,845,120,0.142,649,0,0,0,0
C2A_7,951,125,0.1314,688,0,0,0,0
C2A_8,977,82,0.0839,296,0,0,0,0
C2A_9,1000,380,0.38,283,0,0,0,0
C2A_10,1048,174,0.166,240,0,0,0,0
C2A_11,1136,107,0.0941,281.5,599,915,173,493
C2A_12,1205,64,0.0531,294,627,915,215,573
C2A_13,2277,238,0.1045,325.5,675,889,245,459
C2A_14,2358,86,0.0364,355,671,933,273,565
C2A_15,2422,223,0.092,379.5,637,933,211,647
C2A_16,1200,240,0.2,394,667,985,233,601
C2A_17,1550,240,0.2,464.5,713,933,311,709
C2A_18,1200,120,0.1,380,0,0,0,0
C2A_19,900,360,0.4,414,0,0,0,0
C2B_0,512,212,0.414,491,0,0,0,0
C2B_1,579,193,0.3333,494,0,0,0,0
C2B_2,600,370,0.6166,491,0,0,0,0
C2B_3,657,291,0.4429,573,0,0,0,0
C2B_4,765,305,0.3986,594,647,963,525,951
C2B_5,829,158,0.1905,594,657,921,487,811
C2B_6,845,120,0.142,633,0,0,0,0
C2B_7,951,125,0.1314,580,0,0,0,0
C2B_8,977,82,0.0839,576,0,0,0,0
C2B_9,1000,380,0.38,424,0,0,0,0
C2B_10,1048,174,0.166,359,626,627,273,503
C2B_11,1136,107,0.0941,327.5,617,923,223,635
C2B_12,1205,64,0.0531,308,597,867,231,567
C2B_13,2277,238,0.1045,314.5,619,861,191,623
C2B_14,2358,86,0.0364,294,0,0,0,0
C2B_15,2422,223,0.092,215,589,829,151,487
C2B_16,1200,240,0.2,275.5,635,785,149,287
C2B_17,1550,240,0.2,207,0,0,0,0
C2B_18,1200,120,0.1,167,0,0,0,0
C2B_19,900,360,0.4,198,0,0,0,0
C3A_0,1292,328,0.2538,214.5,296,595,125,511
C3A_1,1309,233,0.1779,222.5,254,256,39,493
C3A_2,1430,53,0.037,193,0,0,0,0
C3A_3,1487,268,0.1802,214,0,0,0,0
C3A_4,1537,363,0.2361,206,340,342,135,397
C3A_5,1594,273,0.1712,286.5,273,605,163,425
C3A_6,1651,253,0.1532,249,357,557,171,385
C3A_7,1733,375,0.2163,336,279,667,275,823
C3A_8,1781,338,0.1897,376,215,739,321,1101
C3A_9,1838,396,0.2154,360.5,187,769,293,1099
C3A_10,1850,70,0.0378,349,0,0,0,0
C3A_11,1933,345,0.1784,478,221,833,367,1269
C3A_12,2006,179,0.0892,465.5,256,791,405,985
C3A_13,2479,153,0.0617,517,317,773,457,1005
C3A_14,2500,50,0.02,511.5,345,731,395,593
C3A_15,1550,360,0.2,533,217,925,497,1399
C3A_16,450,360,0.8,398,581,871,317,727
C3A_17,520,360,0.7,450,555,843,355,779
C3A_18,390,360,0.9,408,565,857,301,815
C3A_19,350,360,1,448,523,847,365,865
C3B_0,1292,328,0.2538,426,557,833,353,599
C3B_1,1309,233,0.1779,419.5,581,855,345,607
C3B_2,1430,53,0.037,354,607,609,223,435
C3B_3,1487,268,0.1802,365.5,507,859,299,929
C3B_4,1537,363,0.2361,433.5,431,939,395,1219
C3B_5,1594,273,0.1712,454.5,421,923,379,1143
C3B_6,1651,253,0.1532,410,369,921,349,1221
C3B_7,1733,375,0.2163,412.5,357,981,379,1279
C3B_8,1781,338,0.1897,464.5,375,899,391,975
C3B_9,1838,396,0.2154,432.5,385,885,361,913
C3B_10,1850,70,0.0378,444.5,437,835,325,567
C3B_11,1933,345,0.1784,323.5,259,915,309,1325
C3B_12,2006,179,0.0892,398,369,643,223,671
C3B_13,2479,153,0.0617,215.5,270,723,394,0
C3B_14,2500,50,0.02,159,380,678,371,770
C3B_15,1550,360,0.2,389.5,387,595,255,420
C3B_16,450,360,0.8,343.5,358,622,230,486
C3B_17,520,360,0.7,219,232,580,406,714
C3B_18,390,360,0.9,296,0,0,0,0
C3B_19,350,360,1,14.5,345,599,251,559
C4A_0,1550,360,0.2,381,370,575,287,479
C4A_1,1800,360,0.2,380.5,211,215,320,879
C4A_2,1350,360,0.3,291.5,286,602,408,719
C4A_3,1200,360,0.3,381.5,221,658,279,859
C4A_4,1200,240,0.2,394,342,536,287,640
C4A_5,1550,240,0.2,309.5,328,547,188,510
C4A_6,1200,120,0.1,92.5,359,718,422,743
C4A_7,900,360,0.4,363.5,354,563,238,432
C4A_8,450,360,0.8,361.5,240,598,256,752
C4A_9,520,360,0.7,355.5,223,572,226,816
C4A_10,390,360,0.9,381.5,231,576,286,650
C4A_11,350,360,1,347.5,238,528,258,639
C4A_12,350,240,0.7,239.5,159,587,251,0
C4A_13,450,240,0.5,338,0,0,0,0
C4A_14,350,120,0.3,357,218,536,235,687
C4A_15,270,360,1.3,380,0,0,0,0
C4A_16,350,240,0.7,297.5,154,482,175,392
C4A_17,450,240,0.5,286.5,226,431,134,348
C4A_18,350,120,0.3,261,226,471,134,583
C4A_19,270,360,1.3,328,223,465,258,474
C4B_0,1550,360,0.2,338,83,396,168,619
C4B_1,1800,360,0.2,390.5,28,474,287,855
C4B_2,1350,360,0.3,322,154,335,131,338
C4B_3,1200,360,0.3,313.5,140,366,146,402
C4B_4,1200,240,0.2,385.5,178,378,250,459
C4B_5,1550,240,0.2,400,156,668,258,535
C4B_6,1200,120,0.1,428,162,374,140,432
C4B_7,900,360,0.4,421,120,444,266,548
C4B_8,450,360,0.8,330,182,412,218,475
C4B_9,520,360,0.7,341.5,93,542,247,0
C4B_10,390,360,0.9,432,0,0,0,0
C4B_11,350,360,1,416.5,105,538,240,859
C4B_12,350,240,0.7,391.5,231,418,266,483
C4B_13,450,240,0.5,393.5,212,428,260,430
C4B_14,350,120,0.3,73.5,268,384,287,419
C4B_15,270,360,1.3,379.5,270,411,276,435
C4B_16,350,240,0.7,47,186,506,359,878
C4B_17,450,240,0.5,79,191,544,320,802
C4B_18,350,120,0.3,31,203,540,374,783
C4B_19,270,360,1.3,409,232,506,307,714
A5A_0,1464,331.25,0.2262,437.5,171,548,335,874
A5A_1,536,256.25,0.478,419,0,0,0,0
A5A_2,1536,93.75,0.061,5,216,564,324,868
A5A_3,2250,181.25,0.0805,418,0,0,0,0
A5A_4,1607,268.75,0.1672,206,264,531,290,616
A5A_5,2107,131.25,0.0622,85.5,328,520,264,456
A5A_6,1893,118.75,0.0627,391.5,306,554,300,636
A5A_7,679,156.25,0.2301,17.5,296,562,328,702
A5A_8,2179,281.25,0.129,414.5,44,421,260,0
A5A_9,607,306.25,0.5045,325.5,162,312,238,382
A5A_10,1321,68.75,0.052,292,170,418,222,455
A5A_11,821,256.25,0.3121,199,143,412,287,604
A5A_12,750,106.25,0.1416,331.5,179,375,204,404
A5A_13,1964,218.75,0.1113,371.5,171,388,234,434
A5A_14,2464,168.75,0.0684,341.5,107,500,312,655
A5A_15,1821,143.75,0.0789,336,178,403,251,486
A5A_16,1036,293.75,0.2835,376,0,0,0,0
A5A_17,1179,343.75,0.2915,338,0,0,0,0
A5A_18,893,243.75,0.2729,363.5,100,551,264,874
A5A_19,1750,368.75,0.2107,408.5,243,378,286,436
A5A_20,964,393.75,0.4084,174,216,375,287,640
A5A_21,1679,81.25,0.0483,405,231,399,219,424
A5A_22,1107,318.75,0.2879,321,196,448,191,384
A5A_23,2036,56.25,0.0276,394,170,512,287,694
A5A_24,1393,231.25,0.166,385.5,168,495,240,810
A5A_25,2393,193.75,0.0809,398.5,187,520,291,828
A5A_26,2321,381.25,0.1642,374,212,499,319,744
A5A_27,1250,206.25,0.165,408.5,158,551,304,872
A5B_0,1464,331.25,0.2262,433,0,0,0,0
A5B_1,536,256.25,0.478,8.5,208,563,318,642
A5B_2,1536,93.75,0.061,168.5,276,556,276,616
A5B_3,2250,181.25,0.0805,393.5,234,523,247,560
A5B_4,1607,268.75,0.1672,390.5,270,480,287,511
A5B_5,2107,131.25,0.0622,361,242,506,190,458
A5B_6,1893,118.75,0.0627,399.5,178,185,307,632
A5B_7,679,156.25,0.2301,412,0,0,0,0
A5B_8,2179,281.25,0.129,334,139,446,243,612
A5B_9,607,306.25,0.5045,368.5,83,512,296,764
A5B_10,1321,68.75,0.052,241.5,131,668,306,743
A5B_11,821,256.25,0.3121,397,203,415,192,578
A5B_12,750,106.25,0.1416,402.5,148,458,294,702
A5B_13,1964,218.75,0.1113,415,214,440,187,428
A5B_14,2464,168.75,0.0684,418,0,0,0,0
A5B_15,1821,143.75,0.0789,424.5,166,440,295,574
A5B_16,1036,293.75,0.2835,407.5,210,444,332,616
A5B_17,1179,343.75,0.2915,427.5,91,543,332,876
A5B_18,893,243.75,0.2729,111,0,0,0,0
A5B_19,1750,368.75,0.2107,269.5,116,567,310,783
A5B_20,964,393.75,0.4084,61,0,0,0,0
A5B_21,1679,81.25,0.0483,380.5,220,468,256,551
A5B_22,1107,318.75,0.2879,238,280,435,300,474
A5B_23,2036,56.25,0.0276,225,266,452,324,554
A5B_24,1393,231.25,0.166,26.5,218,652,364,594
A5B_25,2393,193.75,0.0809,54,135,540,400,796
A5B_26,2321,381.25,0.1642,70.5,210,574,419,824
A5B_27,1250,206.25,0.165,109.5,268,558,408,776
A5C_0,1464,331.25,0.2262,13.5,182,594,402,880
A5C_1,536,256.25,0.478,0,0,0,0,0
A5C_2,1536,93.75,0.061,26.5,231,568,403,874
A5C_3,2250,181.25,0.0805,9,0,0,0,0
A5C_4,1607,268.75,0.1672,3.5,280,568,359,656
A5C_5,2107,131.25,0.0622,10,352,530,422,588
A5C_6,1893,118.75,0.0627,17,306,540,466,827
A5C_7,679,156.25,0.2301,6,331,568,488,839
A5C_8,2179,281.25,0.129,0,0,0,0,0
A5C_9,607,306.25,0.5045,0,0,0,0,0
A5C_10,1321,68.75,0.052,0,0,0,0,0
A5C_11,821,256.25,0.3121,0,0,0,0,0
A5C_12,750,106.25,0.1416,0,0,0,0,0
A5C_13,1964,218.75,0.1113,0,0,0,0,0
A5C_14,2464,168.75,0.0684,0,0,0,0,0
A5C_15,1821,143.75,0.0789,0,0,0,0,0
A5C_16,1036,293.75,0.2835,0,0,0,0,0
A5C_17,1179,343.75,0.2915,0,0,0,0,0
A5C_18,893,243.75,0.2729,0,0,0,0,0
A5C_19,1750,368.75,0.2107,0,0,0,0,0
A5C_20,964,393.75,0.4084,0,0,0,0,0
A5C_21,1679,81.25,0.0483,0,0,0,0,0
A5C_22,1107,318.75,0.2879,0,0,0,0,0
A5C_23,2036,56.25,0.0276,0,0,0,0,0
A5C_24,1393,231.25,0.166,0,0,0,0,0
A5C_25,2393,193.75,0.0809,0,0,0,0,0
A5C_26,2321,381.25,0.1642,0,0,0,0,0
A5C_27,1250,206.25,0.165,0,0,0,0,0
A5D_0,1464,331.25,0.2262,0,0,0,0,0
A5D_1,536,256.25,0.478,0,0,0,0,0
A5D_2,1536,93.75,0.061,0,0,0,0,0
A5D_3,2250,181.25,0.0805,0,0,0,0,0
A5D_4,1607,268.75,0.1672,0,0,0,0,0
A5D_5,2107,131.25,0.0622,0,0,0,0,0
A5D_6,1893,118.75,0.0627,0,0,0,0,0
A5D_7,679,156.25,0.2301,0,0,0,0,0
A5D_8,2179,281.25,0.129,0,0,0,0,0
A5D_9,607,306.25,0.5045,0,0,0,0,0
A5D_10,1321,68.75,0.052,0,0,0,0,0
A5D_11,821,256.25,0.3121,0,0,0,0,0
A5D_12,750,106.25,0.1416,0,0,0,0,0
A5D_13,1964,218.75,0.1113,0,0,0,0,0
A5D_14,2464,168.75,0.0684,0,0,0,0,0
A5D_15,1821,143.75,0.0789,0,0,0,0,0
A5D_16,1036,293.75,0.2835,0,0,0,0,0
A5D_17,1179,343.75,0.2915,0,0,0,0,0
A5D_18,893,243.75,0.2729,0,0,0,0,0
A5D_19,1750,368.75,0.2107,0,0,0,0,0
A5D_20,964,393.75,0.4084,0,0,0,0,0
A5D_21,1679,81.25,0.0483,0,0,0,0,0
A5D_22,1107,318.75,0.2879,0,0,0,0,0
A5D_23,2036,56.25,0.0276,0,0,0,0,0
A5D_24,1393,231.25,0.166,0,0,0,0,0
A5D_25,2393,193.75,0.0809,0,0,0,0,0
A5D_26,2321,381.25,0.1642,0,0,0,0,0
A5D_27,1250,206.25,0.165,0,0,0,0,0
